ticker,announce_date,announce_hour,eps_est,eps_act
GOOGL,2020-02-03,16.0,0.63,0.77
GOOGL,2019-10-28,16.0,0.62,0.51
GOOGL,2019-07-25,16.0,0.57,0.71
GOOGL,2019-04-29,16.0,0.52,0.6
GOOGL,2019-02-04,16.0,0.54,0.64
GOOGL,2018-10-25,16.0,0.52,0.65
GOOGL,2018-07-23,16.0,0.19,0.23
GOOGL,2018-04-23,16.0,0.46,0.47
GOOGL,2018-02-01,16.0,0.49,0.49
GOOGL,2017-10-26,16.0,0.42,0.48
GOOGL,2017-07-24,16.0,0.22,0.25
GOOGL,2017-04-27,16.0,0.47,0.5
GOOGL,2017-01-26,16.0,0.48,0.47
GOOGL,2016-10-27,16.0,0.34,0.36
GOOGL,2016-07-28,16.0,0.32,0.35
GOOGL,2016-04-21,16.0,0.4,0.38
GOOGL,2016-02-01,16.0,0.4,0.43
GOOGL,2015-10-22,16.0,0.36,0.37
GOOGL,2015-07-16,16.0,0.27,0.25
GOOGL,2015-04-23,16.0,0.27,0.26
GOOGL,2015-01-29,16.0,0.36,0.34
GOOGL,2014-10-16,16.0,0.33,0.32
GOOGL,2014-07-17,16.0,0.31,0.3
META,2026-10-28,16.0,6.38,
META,2026-07-29,16.0,7.22,6.18
META,2026-04-29,16.0,6.82,7.31
META,2026-01-28,16.0,8.22,8.88
META,2025-10-29,16.0,6.67,7.25
META,2025-07-30,16.0,5.86,7.14
META,2025-04-30,16.0,5.21,6.43
META,2025-01-29,16.0,6.74,8.02
META,2024-10-30,16.0,5.3,6.03
META,2024-07-31,16.0,4.76,5.16
META,2024-04-24,16.0,4.36,4.71
META,2024-02-01,16.0,4.94,5.33
META,2023-10-25,16.0,3.6,4.39
META,2023-07-26,16.0,2.91,2.98
META,2023-04-26,16.0,1.98,2.2
META,2023-02-01,16.0,2.24,1.76
META,2022-10-26,16.0,1.85,1.64
META,2022-07-27,16.0,2.55,2.46
META,2022-04-27,16.0,2.53,2.72
META,2022-02-02,16.0,3.83,3.67
META,2021-10-25,16.0,3.17,3.22
META,2021-07-28,16.0,3.06,3.61
META,2021-04-28,16.0,2.35,3.3
META,2021-01-27,16.0,3.24,3.88
META,2020-10-29,16.0,1.91,2.4
META,2020-07-30,16.0,1.4,1.8
META,2020-04-29,17.0,1.7,1.71
META,2020-01-29,16.0,2.53,2.56
META,2019-10-30,16.0,1.91,2.12
META,2019-07-24,16.0,1.88,1.99
META,2019-04-24,16.0,1.61,0.85
META,2019-01-30,16.0,2.18,2.38
META,2018-10-30,16.0,1.45,1.76
